GABAergic synapses,Glutamatergic synapses,Synaptic vesicles cycle,Synapse proteins
Adcy1,Adcy1,Ap2A1,Adcy3
Adcy2,Adcy2,Ap2B1,Apba1
Adcy3,Adcy3,Ap2M1,Cacnb1
Adcy4,Adcy4,Atp6V0A1,Cacnb2
Cacna1A,Cacna1A,Atp6V0A2,Cacnb4
Cacna1B,Dlg4,Atp6V0B,Calm1
Cacna1F,Dlgap1,Atp6V0C,Camk2A
Gabarap,Gls,Atp6V0D1,Camk2B
Gabbr1,Gls2,Atp6V0E,Camk2D
Gabbr2,Glul,Atp6V0E2,Camk2G
Gabra1,Gnai1,Atp6V1A,Camk4
Gabra2,Gnai2,Atp6V1B1,Camkk1
Gabra3,Gnai3,Atp6V1C1,Cask
Gabra4,Gnao1,Atp6V1D,Creb1
Gabra5,Gnaq,Atp6V1E1,Dlg1
Gabrb1,Gnas,Atp6V1F,Dlg3
Gabrb2,Gnb1,Atp6V1G1,Dlg4
Gabrb3,Gnb2,Atp6V1H,Dnajc5
Gabrd,Gnb3,Cacna1A,Epb41L1
Gabre,Gnb4,Cacna1B,Epb41L3
Gabrg1,Gnb5,Clta,Gad1
Gabrg2,Gng10,Cplx1,Gad2
Gabrr1,Gng11,Cplx2,Gnai1
Gabrr2,Gng12,Cplx3,Gnai2
Gad1,Gng13,Dnm1,Gnai3
Gad2,Gng2,Dnm2,Gnal
Gls,Gng3,Dnm3,Gnat3
Gls2,Gng4,Nsf,Gnb1
Glul,Gng5,Rab3A,Gnb2
Gnai1,Gng7,Rims1,Gnb3
Gnai2,Gng8,Slc17A6,Gnb4
Gnai3,Gngt1,Slc17A7,Gnb5
Gnao1,Gngt2,Slc17A8,Gng10
Gnb1,Gria1,Slc18A3,Gng11
Gnb2,Gria2,Slc1A1,Gng12
Gnb3,Gria3,Slc1A2,Gng13
Gnb4,Gria4,Slc1A3,Gng2
Gnb5,Grik1,Slc1A6,Gng3
Gng10,Grik2,Slc1A7,Gng4
Gng11,Grik3,Slc32A1,Gng5
Gng12,Grin1,Slc6A1,Gng7
Gng13,Grin2A,Slc6A11,Gng8
Gng2,Grin2B,Slc6A12,Gngt1
Gng3,Grin2C,Slc6A13,Gngt2
Gng4,Grin2D,Slc6A2,Gosr1
Gng5,Grin3A,Slc6A3,Grin1
Gng7,Grin3B,Snap25,Grin2A
Gng8,Grk2,Stx1A,Grin2B
Gngt1,Grk3,Stx1B,Kcnj2
Gngt2,Grm1,Stx2,Mdm2
Gphn,Grm2,Stx3,Ntrk3
Kcnj6,Grm3,Stxbp1,Plcb1
Nsf,Grm4,Syt1,Prkaca
Prkaca,Grm5,Unc13A,Prkacb
Prkacb,Homer1,Unc13B,Prkca
Prkcg,Homer2,Unc13C,Rab3A
Slc12A5,Homer3,Vamp2,Sec22B
Slc32A1,Itpr1,,Snap23
Slc38A1,Itpr2,,Snap25
Slc38A2,Itpr3,,Snap29
Slc38A3,Kcnj3,,Stx11
Slc6A1,Mapk1,,Stx16
Slc6A11,Mapk3,,Stx17
Slc6A12,Pla2G4A,,Stx18
Slc6A13,Pla2G4B,,Stx19
Src,Pla2G4C,,Stx1A
Trak2,Pla2G4D,,Stx1B
,Plcb1,,Stx2
,Pld1,,Stx3
,Ppp3Ca,,Stx4A
,Ppp3Cb,,Stx5A
,Ppp3Cc,,Stx6
,Ppp3R1,,Stx7
,Ppp3R2,,Stx8
,Prkaca,,Stxbp1
,Prkacb,,Syn1
,Prkca,,Syp
,Prkcb,,Vamp1
,Prkcg,,Vamp2
,Shank1,,Vamp3
,Shank2,,Vamp4
,Shank3,,
,Slc17A6,,
,Slc17A7,,
,Slc17A8,,
,Slc1A1,,
,Slc1A2,,
,Slc1A3,,
,Slc1A6,,
,Slc1A7,,
,Slc38A1,,
,Slc38A2,,
,Slc38A3,,
,Trpc1,,
