Granule cells,Pyramidal cells,GABA interneurons,Mossy cells,Cajal-Retzius
Camk2B,Bhlhe22,Adarb2,Bin1,Bin1
Cd24a,Bin1,Arx,Cacna2d1,Cacna2d1
Cntnap2,Cacna2d1,Cck,Calb2,Cacna2d2
Cplx2,Camk4,Cd24a,Camk4,Calb2
Dab1,Cd24a,Cdk5r1,Cdh9,Cdh4
Bcl11b,Cdh24,Chl1,Cdk5,Clstn2
Dcx,Cdk4,ChrM2,Cdk5r1,Cntnap2
Dsp,Cdk5r1,Clstn2,Cdk5r2,Cxcl12
Fam163b,Cdk5r2,Cnr1,Chl1,Diablo
Gda,Chl1,Cntnap2,Clstn2,Dync1i1
Igfbpl1,Clstn2,1,Cnr1,Elavl4
Mapk1,Cnr1,Cxcl14,Cplx2,Emx2
Camk2A,Cntn2,Dcx,Dnajc27,Fat3
Bhlhe22,Cntn4,Dlx1,Dync1i1,Gap43
Mef2c,Cplx2,Dlx2,Elavl2,Jun
Neurod1,Dcx,Dnajc27,Elavl4,Kcnh7
Nrp2,Elavl2,Dync1i1,Foxg1,Msi2
Omg,Elavl4,Elavl2,Fxyd7,Ndnf
Pcp4,Foxg1,Elavl4,Gabra5,Nhlh2
Pomc,Fxyd7,Fos,Hpcal1,Pcp4
Prox1,Gabra5,Gad1,Kcnc2,Reln
Rasd1,Gda,Gad2,Lrp8,Robo2
C1ql3,Igfbp2,Kcnc2,Myt1l,Slc17a6
Rspo3,Igfbpl1,Lamp5,Neurod2,Smad1
Sema3c,Lhx2,Lhfpl4,Neurod6,Snhg11
Cacna2d1,Map3k15,Lhx6,Nr4a3,Thrsp
Calb1,Meis2,Mpped1,Nrp2,Trp73
Sema5a,Mex3a,Myt1l,Prickle2,
Slc17a7,Mpped1,Nos1,Ptprj,
Slc4a4,Myt1l,Npy,Rasgrp1,
Smim3,Neurod1,Nrp2,Rbfox3,
Snap25,Neurod2,Nxph1,Rgs4,
Sox11,Neurod6,Pnoc,Robo2,
Stxbp6,Nfix,Pvalb,Slc17a7,
Synpr,Nr4a3,Rasgrf2,Snhg11,
Syt1,Nrp2,Reln,Tanc1,
Vamp2,Prickle2,Rgs10,,
Zbtb20,Rasgrp1,Slc2a13,,
,Rbfox2,Slc32a1,,
,Rbfox3,Slc6a1,,
,Robo2,Sncg,,
,Slc17a7,Snhg11,,
,Snhg11,Sox4,,
,Sox11,Sst,,
,Sox4,Syt6,,
,Ttc28,Tenm1,,
,,Vip,,
